record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2000-09-30,1999,Y,Assets,Inventories and related property,null,5,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,"Property, plant, and equipment",null,6,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,Other assets,null,7,2000,4,2000,3,09,30
2000-09-30,1999,Y,Assets,Total assets,null,8,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Accounts payable,null,9,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Federal debt securities held by the public,null,10,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Federal employee and veteran benefits payable,null,11,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Environmental and disposal liabilities,null,12,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Benefits due and payable,null,13,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Loan guarantee liabilities,null,14,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Other liabilities,null,15,2000,4,2000,3,09,30
2000-09-30,1999,Y,Liabilities,Total liabilities,null,16,2000,4,2000,3,09,30
2000-09-30,2000,N,Net position,Net position,-5937.1,17,2000,4,2000,3,09,30
2000-09-30,1999,Y,Net position,Net position,null,17,2000,4,2000,3,09,30
2000-09-30,2000,N,Net position,Total liabilities and net position,911.5,18,2000,4,2000,3,09,30
2000-09-30,1999,Y,Net position,Total liabilities and net position,null,18,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Cash and other monetary assets,104.9,1,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Accounts receivable,32.3,2,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Loans receivable,207.6,3,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Taxes receivable,23.3,4,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Inventories and related property,185.2,5,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,"Property, plant, and equipment",298.5,6,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Other assets,59.7,7,2000,4,2000,3,09,30
2000-09-30,2000,N,Assets,Total assets,911.5,8,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Accounts payable,91.0,9,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Federal debt securities held by the public,3408.5,10,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Federal employee and veteran benefits payable,2757.8,11,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Environmental and disposal liabilities,301.2,12,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Benefits due and payable,77.8,13,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Loan guarantee liabilities,37.3,14,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Other liabilities,175.0,15,2000,4,2000,3,09,30
2000-09-30,2000,N,Liabilities,Total liabilities,6848.6,16,2000,4,2000,3,09,30
2001-09-30,2000,Y,Assets,Cash and other monetary assets,104.9,1,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Accounts receivable,32.3,2,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Loans receivable,207.6,3,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Taxes receivable,23.3,4,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Inventories and related property,185.2,5,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,"Property, plant and equipment",298.5,6,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Other assets,59.7,7,2001,4,2001,3,09,30
2001-09-30,2000,Y,Assets,Total assets,911.5,8,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Accounts payable,91.0,9,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Federal debt securities held by the public,3409.9,10,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Federal employee and veteran benefits payable,2764.7,11,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Environmental and disposal liabilities,301.2,12,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Benefits due and payable,77.8,13,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Loan guarantee liabilities,37.3,14,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Other liabilities,175.0,15,2001,4,2001,3,09,30
2001-09-30,2000,Y,Liabilities,Total liabilities,6856.9,16,2001,4,2001,3,09,30
2001-09-30,2000,Y,Net position,Net position,-5945.4,17,2001,4,2001,3,09,30
2001-09-30,2001,N,Net position,Total liabilities and net position,926.1,18,2001,4,2001,3,09,30
2001-09-30,2000,Y,Net position,Total liabilities and net position,911.5,18,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,"Property, plant and equipment",306.7,6,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Other assets,63.4,7,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Total assets,926.1,8,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Accounts payable,95.7,9,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Federal debt securities held by the public,3319.8,10,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Federal employee and veteran benefits payable,3360.8,11,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Environmental and disposal liabilities,306.8,12,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Benefits due and payable,86.0,13,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Loan guarantee liabilities,27.7,14,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Other liabilities,188.1,15,2001,4,2001,3,09,30
2001-09-30,2001,N,Liabilities,Total liabilities,7384.9,16,2001,4,2001,3,09,30
2001-09-30,2001,N,Net position,Net position,-6458.8,17,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Cash and other monetary assets,108.0,1,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Accounts receivable,34.2,2,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Loans receivable,208.9,3,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Taxes receivable,21.1,4,2001,4,2001,3,09,30
2001-09-30,2001,N,Assets,Inventories and related property,183.8,5,2001,4,2001,3,09,30
2002-09-30,2002,N,Liabilities,Loan guarantee liabilities,28.1,14,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Other liabilities,201.9,15,2002,4,2002,3,09,30
2002-09-30,2002,N,Liabilities,Total liabilities,7816.7,16,2002,4,2002,3,09,30
2002-09-30,2002,N,Net position,Net position,-6820.2,17,2002,4,2002,3,09,30
2002-09-30,2002,N,Net position,Total liabilities and net position,996.5,18,2002,4,2002,3,09,30
2002-09-30,2002,N,Assets,Cash and other monetary assets,141.6,1,2002,4,2002,3,09,30
